timestamp,pMMG,angle_interp
-31.774,108.992,173.6337855
-31.773,108.992,173.6343178
-31.772,108.992,173.6348501
-31.771,108.992,173.6353824
-31.77,108.992,173.6359147
-31.769,108.992,173.636447
-31.768,108.992,173.6369793
-31.767,108.992,173.6375116
-31.766,108.992,173.6380439
-31.765,108.992,173.6375017
-31.764,108.992,173.6369594
-31.763,108.992,173.6364171
-31.762,108.992,173.6358749
-31.761,108.992,173.6353326
-31.76,108.992,173.6347903
-31.759,108.992,173.6342481
-31.758,108.992,173.6337058
-31.757,108.992,173.6331636
-31.756,108.992,173.6326213
-31.755,108.992,173.632079
-31.754,108.992,173.6315368
-31.753,108.992,173.6309945
-31.752,108.992,173.6304522
-31.751,108.992,173.62991
-31.75,108.992,173.6293677
-31.749,108.992,173.6288254
-31.748,109.051,173.6282832
-31.747,109.051,173.6277409
-31.746,109.051,173.6271986
-31.745,109.051,173.6266564
-31.744,109.051,173.6261141
-31.743,109.051,173.6255718
-31.742,109.051,173.6250296
-31.741,109.051,173.6244873
-31.74,109.051,173.6239451
-31.739,109.051,173.6234028
-31.738,109.031,173.6228605
-31.737,109.051,173.6223183
-31.736,109.012,173.621776
-31.735,109.031,173.6212337
-31.734,109.031,173.6206915
-31.733,109.031,173.6201492
-31.732,109.031,173.6177789
-31.731,109.051,173.6154087
-31.73,109.031,173.6130384
-31.729,109.031,173.6106681
-31.728,109.031,173.6082978
-31.727,109.031,173.6059276
-31.726,109.031,173.6035573
-31.725,109.031,173.601187
-31.724,109.031,173.5988167
-31.723,109.031,173.5964464
-31.722,109.012,173.5940762
-31.721,109.012,173.5917059
-31.72,109.012,173.5893356
-31.719,109.012,173.5869653
-31.718,108.972,173.5845951
-31.717,108.992,173.5822248
-31.716,108.992,173.5798545
-31.715,108.992,173.5774842
-31.714,108.992,173.575114
-31.713,108.992,173.5727437
-31.712,109.012,173.5703734
-31.711,109.012,173.5680031
-31.71,109.012,173.5656329
-31.709,109.012,173.5632626
-31.708,109.012,173.5608923
-31.707,108.992,173.558522
-31.706,108.992,173.5561518
-31.705,108.992,173.5537815
-31.704,108.992,173.5514112
-31.703,108.992,173.5490409
-31.702,108.992,173.5466707
-31.701,108.992,173.5443004
-31.7,108.992,173.5419301
-31.699,108.992,173.5419329
-31.698,108.992,173.5419357
-31.697,108.992,173.5419385
-31.696,108.992,173.5419413
-31.695,108.992,173.5419441
-31.694,108.992,173.5419469
-31.693,108.992,173.5419497
-31.692,108.992,173.5419525
-31.691,108.992,173.5419553
-31.69,108.992,173.5419581
-31.689,108.992,173.5419609
-31.688,108.992,173.5419637
-31.687,108.992,173.5419665
-31.686,108.992,173.5419693
-31.685,108.992,173.5419721
-31.684,108.992,173.5419749
-31.683,108.992,173.5419777
-31.682,108.992,173.5419805
-31.681,108.992,173.5419833
-31.68,108.992,173.5419861
-31.679,108.992,173.5419889
-31.678,108.992,173.5419917
-31.677,108.992,173.5419945
-31.676,108.992,173.5419973
-31.675,108.992,173.5420001
-31.674,108.992,173.5420029
-31.673,109.012,173.5420057
-31.672,109.012,173.5420085
-31.671,108.968,173.5420113
-31.67,108.968,173.5420141
-31.669,108.968,173.5420169
-31.668,108.968,173.5420197
-31.667,108.968,173.5420225
-31.666,108.968,173.5420253
-31.665,108.968,173.541363
-31.664,108.968,173.5407008
-31.663,108.968,173.5400385
-31.662,108.968,173.5393762
-31.661,108.968,173.538714
-31.66,108.968,173.5380517
-31.659,108.968,173.5373894
-31.658,108.992,173.5367271
-31.657,108.992,173.5360649
-31.656,108.992,173.5354026
-31.655,108.992,173.5347403
-31.654,108.992,173.534078
-31.653,108.992,173.5334158
-31.652,109.012,173.5327535
-31.651,108.992,173.5320912
-31.65,108.992,173.5314289
-31.649,108.992,173.5307667
-31.648,108.992,173.5301044
-31.647,109.012,173.5294421
-31.646,109.012,173.5287799
-31.645,109.012,173.5281176
-31.644,109.012,173.5274553
-31.643,109.012,173.526793
-31.642,108.992,173.5261308
-31.641,108.992,173.5254685
-31.64,108.992,173.5248062
-31.639,108.992,173.5241439
-31.638,108.992,173.5234817
-31.637,108.992,173.5228194
-31.636,108.992,173.5221571
-31.635,108.992,173.5214948
-31.634,108.992,173.5208326
-31.633,108.992,173.5201703
-31.632,108.992,173.5190976
-31.631,108.992,173.518025
-31.63,108.992,173.5169523
-31.629,108.992,173.5158797
-31.628,108.992,173.514807
-31.627,108.992,173.5137344
-31.626,108.992,173.5126617
-31.625,108.992,173.5115891
-31.624,108.992,173.5105164
-31.623,108.992,173.5094437
-31.622,108.992,173.5083711
-31.621,108.992,173.5072984
-31.62,108.992,173.5062258
-31.619,108.992,173.5051531
-31.618,108.992,173.5040805
-31.617,109.012,173.5030078
-31.616,109.012,173.5019352
-31.615,109.012,173.5008625
-31.614,109.012,173.4997899
-31.613,109.012,173.4987172
-31.612,109.012,173.4976445
-31.611,109.012,173.4965719
-31.61,109.012,173.4954992
-31.609,109.012,173.4944266
-31.608,109.012,173.4933539
-31.607,109.012,173.4922813
-31.606,109.012,173.4912086
-31.605,108.972,173.490136
-31.604,108.972,173.4890633
-31.603,108.972,173.4879906
-31.602,108.953,173.486918
-31.601,108.933,173.4858453
-31.6,108.933,173.4847727
-31.599,108.933,173.4847727
-31.598,108.953,173.4847727
-31.597,108.953,173.4847727
-31.596,108.953,173.4847727
-31.595,108.953,173.4847727
-31.594,108.953,173.4847727
-31.593,108.953,173.4847727
-31.592,108.953,173.4847727
-31.591,108.914,173.4847727
-31.59,108.933,173.4847727
-31.589,108.933,173.4847727
-31.588,108.933,173.4847727
-31.587,108.914,173.4847727
-31.586,108.914,173.4847727
-31.585,108.914,173.4847727
-31.584,108.914,173.4847727
-31.583,108.933,173.4847727
-31.582,108.933,173.4847727
-31.581,108.933,173.4847727
-31.58,108.933,173.4847727
-31.579,108.933,173.4847727
-31.578,108.933,173.4847727
-31.577,108.933,173.4847727
-31.576,108.933,173.4847727
-31.575,108.933,173.4847727
-31.574,108.933,173.4847727
-31.573,108.933,173.4847727
-31.572,108.933,173.4847727
-31.571,108.933,173.4847727
-31.57,108.933,173.4847727
-31.569,108.933,173.4847727
-31.568,108.933,173.4847727
-31.567,108.933,173.4847727
-31.566,108.933,173.4847727
-31.565,108.933,173.484813
-31.564,108.933,173.4848534
-31.563,108.933,173.4848937
-31.562,108.933,173.4849341
-31.561,108.933,173.4849744
-31.56,108.933,173.4850148
-31.559,108.933,173.4850551
-31.558,108.933,173.4850955
-31.557,108.933,173.4851358
-31.556,108.933,173.4851762
-31.555,108.933,173.4852165
-31.554,108.933,173.4852569
-31.553,108.933,173.4852972
-31.552,108.933,173.4853376
-31.551,108.933,173.485378
-31.55,108.933,173.4854183
-31.549,108.914,173.4854587
-31.548,108.914,173.485499
-31.547,108.914,173.4855394
-31.546,108.914,173.4855797
-31.545,108.914,173.4856201
-31.544,108.914,173.4856604
