GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,MomentMean,NewCol1,NewCol2,NewCol3,NewCol4,NewCol5
1.101101101,0.523677462,0.778915339,0.310659686,0.571902888,0.309004099,-412.6584829,-0.326598046783538,-0.483686972710698,-0.615883863949732,-0.741789258436975,-0.791669267390018
1.201201201,0.530644603,0.763730373,0.316066593,0.57951878,0.31267014,-408.4784367,-0.331848750184253,-0.48789316137605,-0.634303525217461,-0.747554191525569,-0.788849031187072
1.301301301,0.532370364,0.751295994,0.321151181,0.584162517,0.316344392,-405.9745236,-0.337099453584967,-0.492099350041402,-0.65272318648519,-0.755965578688944,-0.786028794984126
1.401401401,0.530894388,0.746346104,0.325360833,0.58615693,0.320655259,-403.4706104,-0.359823618013299,-0.502258294250776,-0.661463140959861,-0.764376965852319,-0.78320855878118
1.501501502,0.528967901,0.74497117,0.333748327,0.588876317,0.329011573,-400.8445451,-0.352382547528324,-0.512774236629658,-0.669874528207266,-0.770987147251127,-0.780388322550059
1.601601602,0.530333161,0.740554198,0.33898676,0.593701033,0.33358885,-398.5783799,-0.367843326054203,-0.523290178903487,-0.678328938649135,-0.770993345433166,-0.777568086347113
1.701701702,0.535548762,0.722077637,0.345516667,0.600951978,0.337417919,-395.9206103,-0.37876736176869,-0.535957439254495,-0.688844881548175,-0.770999543615205,-0.774747850144167
1.801801802,0.532457082,0.714098448,0.3492741,0.60513546,0.342398893,-393.2478558,-0.38928330410504,-0.548095525083704,-0.694932177077957,-0.771797346898991,-0.771927613941221
1.901901902,0.524474569,0.709550412,0.352887528,0.607066542,0.350888183,-390.5746631,-0.399616532924373,-0.548101723717634,-0.70068685156928,-0.774803007600381,-0.767983556617211
2.002002002,0.521156307,0.705658919,0.361323733,0.607943442,0.358215491,-386.909064,-0.403822721575474,-0.548107922091273,-0.706694630065688,-0.777808668301772,-0.763495532620228
2.102102102,0.521933889,0.696539025,0.367018539,0.609501776,0.362681981,-381.8256514,-0.408028910226575,-0.548114120160339,-0.712702408562096,-0.780814329003162,-0.759007508623245
2.202202202,0.522650489,0.676511928,0.3713218,0.614199121,0.366242485,-376.7422389,-0.411346235378635,-0.555378080989459,-0.718710187058504,-0.783414435956943,-0.754519484626261
2.302302302,0.51881181,0.663837612,0.371895119,0.61710629,0.371127992,-371.5687585,-0.404497310293828,-0.565894022950682,-0.724315549507958,-0.782380865656397,-0.752876732673131
2.402402402,0.51404919,0.656296986,0.379360625,0.618543008,0.378647134,-363.6576044,-0.397648385209021,-0.572248541426975,-0.729572549298201,-0.780479696122163,-0.75365222014097
2.502502503,0.509233291,0.65336779,0.386178352,0.618204605,0.385753992,-354.3052319,-0.403735156296729,-0.578256319983401,-0.735016147008717,-0.778578526568936,-0.754427707616556
2.602602603,0.50529686,0.63980287,0.38861133,0.61927814,0.390189396,-345.0241831,-0.416293231605726,-0.584264098479809,-0.741324283347751,-0.776677357034701,-0.755203195084394
2.702702703,0.501554663,0.624123149,0.389084737,0.623670762,0.39364561,-335.7980204,-0.421983711604982,-0.590271876976217,-0.747632419686785,-0.774776187500467,-0.742882489710057
2.802802803,0.495163415,0.611006627,0.38817812,0.624327629,0.397057976,-324.0921791,-0.415550584116916,-0.597693110292614,-0.752491871832825,-0.772875017966233,-0.740107971279348
2.902902903,0.489952278,0.602944585,0.396108509,0.626492921,0.404485745,-311.5780738,-0.409740284964553,-0.597699308474632,-0.752498070014864,-0.771181053102572,-0.737620295882865
3.003003003,0.483596192,0.601762425,0.397741529,0.625918614,0.410479677,-299.0322046,-0.407124129387995,-0.59770550665665,-0.752504268196903,-0.773146717459346,-0.716311571719741
3.103103103,0.477242936,0.586021902,0.402806791,0.627347272,0.415447026,-286.4194171,-0.404507973811437,-0.598160700298824,-0.752510466378942,-0.76685652921884,-0.72658555550654
3.203203203,0.471771869,0.572388085,0.399963669,0.630335484,0.418700016,-273.9743267,-0.401891817841848,-0.599916262286749,-0.752516664560981,-0.760566340978335,-0.722396960874173
3.303303303,0.465341458,0.556876671,0.397544901,0.629414962,0.422408559,-261.9618298,-0.399275661833163,-0.601671824274674,-0.75252286274302,-0.754276152737829,-0.718208366241806
3.403403403,0.455493004,0.551684522,0.401936126,0.62918097,0.430681797,-249.9493329,-0.39837944420148,-0.603427386262599,-0.752529060887878,-0.747985964497323,-0.71029505818895
