GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,MomentMean,NewCol1,NewCol2,NewCol3,NewCol4,NewCol5
3.103103103,0.452301393,0.321466591,0.730328883,0.482820059,-286.4194171,-0.404507973811437,-0.598160700298824,-0.752510466378942,-0.76685652921884,-0.72658555550654
3.203203203,0.438017282,0.321226571,0.717733378,0.4851968,-273.9743267,-0.401891817841848,-0.599916262286749,-0.752516664560981,-0.760566340978335,-0.722396960874173
3.303303303,0.429605852,0.321056585,0.715043682,0.488288498,-261.9618298,-0.399275661833163,-0.601671824274674,-0.75252286274302,-0.754276152737829,-0.718208366241806
3.403403403,0.42266067,0.321671505,0.709390618,0.490087567,-249.9493329,-0.39837944420148,-0.603427386262599,-0.752529060887878,-0.747985964497323,-0.71029505818895
3.503503504,0.416036599,0.317216168,0.702245746,0.493200637,-238.5491013,-0.398385642329369,-0.603928447882513,-0.752535258957006,-0.723108941881797,-0.689479988871666
3.603603604,0.407937869,0.313860855,0.693592544,0.496265841,-228.1872935,-0.410489443116968,-0.603934646139879,-0.75254145718392,-0.719848425119705,-0.631277393492058
3.703703704,0.394707998,0.312545108,0.682941657,0.497946699,-217.6249337,-0.419893528664677,-0.603940844397245,-0.752547655535418,-0.723731215847488,-0.649674792420377
3.803803804,0.384561602,0.31234208,0.676029949,0.500155497,-207.0319884,-0.393460368264634,-0.603947042654611,-0.752553853886916,-0.719542621553851,-0.671738008640135
3.903903904,0.375919312,0.308039787,0.668019331,0.502735107,-197.2440065,-0.399930246885298,-0.603953240911977,-0.752565047701162,-0.715227536979084,-0.628717656999929
4.004004004,0.369240811,0.301216796,0.661451172,0.505697688,-189.7344607,-0.406400125505962,-0.603959439035406,-0.752842290028479,-0.701271253230156,-0.607801678875952
4.104104104,0.361497401,0.29870781,0.654304383,0.507206531,-182.67736,-0.406694977501929,-0.60396563696323,-0.742497144624582,-0.687314969481229,-0.585716218402523
4.204204204,0.348330841,0.295218525,0.645958216,0.50975865,-175.6202592,-0.418607500080315,-0.603971834902781,-0.726799593952464,-0.673358685732302,-0.559589860877001
4.304304304,0.337265601,0.293480143,0.637624249,0.51306758,-168.5445388,-0.428346579858281,-0.60397803308482,-0.711102043280347,-0.668624429361754,-0.533463502752489
4.404404404,0.3290659,0.285910463,0.631902677,0.515995499,-165.5805347,-0.42311009825123,-0.603984231266859,-0.700011659607462,-0.674492577979131,-0.516253912782832
4.504504505,0.324447723,0.278046637,0.628537376,0.518654094,-163.4053447,-0.417873616591866,-0.603655700617369,-0.689540601011606,-0.633374894679985,-0.500556361953896
4.604604605,0.313429649,0.274861895,0.61788578,0.520534682,-160.9550932,-0.412637134984815,-0.6001658774505,-0.679069542520356,-0.617677344496846,-0.479756750696363
4.704704705,0.299996144,0.271970025,0.60966594,0.523491511,-159.8402556,-0.379640806022458,-0.59497601654732,-0.666844658040795,-0.592412196998955,-0.480591626373329
4.804804805,0.289452986,0.265564788,0.600938816,0.525751964,-162.1014792,-0.365041201719903,-0.586248918109698,-0.651147107302392,-0.570103486729633,-0.533493558372893
4.904904905,0.282960693,0.256349508,0.595334226,0.530468822,-164.1548928,-0.35980472010576,-0.577521819672076,-0.635449556563988,-0.549187509391553,-0.421400247834013
5.005005005,0.277497821,0.25398515,0.591820397,0.531533189,-166.2338467,-0.354568238498709,-0.568794721234453,-0.619752005544232,-0.508372411004575,-0.403962325993914
5.105105105,0.267413206,0.249688724,0.586020985,0.533456844,-171.755999,-0.349331756891657,-0.564831584075676,-0.603232685852417,-0.483276857791427,-0.387838238288926
5.205205205,0.255385174,0.245489797,0.577791111,0.536925325,-179.0890569,-0.344095275284606,-0.562215427964605,-0.58649080518252,-0.457028945492057,-0.357261300261772
