GaitPhase,pMMGMean_5,NewCol5
21.12112112,7.86407447,1.487476413
21.22122122,7.83045502,1.482219413
21.32132132,7.806452095,1.476962413
21.42142142,7.782255766,1.471705413
21.52152152,7.752446638,1.466705031
21.62162162,7.714125913,1.461879798
21.72172172,7.668831279,1.457054565
21.82182182,7.64157595,1.452229332
21.92192192,7.605182596,1.447404099
22.02202202,7.563374843,1.449458534
22.12212212,7.514315152,1.444201534
22.22222222,7.459552322,1.438944534
22.32232232,7.429793111,1.433687535
22.42242242,7.413185666,1.428430535
22.52252252,7.391314372,1.421177608
22.62262262,7.331489069,1.412415552
22.72272272,7.284794843,1.403653497
22.82282282,7.258699824,1.394903207
22.92292292,7.223846248,1.386491819
23.02302302,7.199492878,1.378080432
23.12312312,7.150278651,1.368212979
23.22322322,7.102288839,1.351375655
23.32332332,7.072002796,1.339858828
23.42342342,7.040725626,1.326710356
23.52352352,7.019212034,1.315019448
23.62362362,6.96572108,1.304503506
23.72372372,6.912194037,1.293987563
23.82382382,6.889994529,1.283499731
23.92392392,6.864604263,1.274487175
24.02402402,6.830146396,1.26547462
24.12412412,6.770652055,1.256462064
24.22422422,6.725671144,1.247449509
24.32432432,6.696318073,1.233956328
24.42442442,6.672623676,1.226257001
24.52452452,6.637455029,1.231976748
24.62462462,6.594439281,1.198412872
24.72472472,6.544926364,1.183979418
24.82482482,6.513809963,1.175217362
24.92492492,6.484269818,1.166455307
25.02502503,6.437004942,1.156040221
25.12512513,6.397544985,1.140257177
25.22522523,6.361205413,1.124474133
25.32532533,6.330488127,1.105904654
25.42542543,6.311225361,1.086957424
25.52552553,6.263080777,1.068010194
25.62562563,6.212057628,1.087841481
25.72572573,6.166235745,1.055561165
25.82582583,6.125589753,1.032879046
25.92592593,6.105500133,1.020927587
26.02602603,6.052869884,1.014619451
26.12612613,5.985271532,1.008311314
26.22622623,5.947932305,0.998878841
26.32632633,5.900629779,0.985730369
26.42642643,5.874351791,0.973768227
26.52652653,5.825641936,0.972363959
26.62662663,5.744635999,0.970959692
26.72672673,5.699880677,0.935426991
26.82682683,5.649080173,0.927015604
26.92692693,5.614313227,0.918604217
27.02702703,5.560460425,0.896311685
27.12712713,5.471934118,0.873079242
27.22722723,5.422951606,0.874570825
27.32732733,5.371831555,0.865801238
27.42742743,5.330421128,0.860025786
27.52752753,5.270410065,0.856519957
27.62762763,5.169361977,0.844269016
27.72772773,5.11009167,0.831120544
27.82782783,5.061960396,0.819423077
27.92792793,5.014298005,0.808907134
28.02802803,4.953085346,0.782081791
28.12812813,4.851995404,0.770104108
28.22822823,4.786212202,0.755735593
28.32832833,4.742349784,0.738195031
28.42842843,4.671946541,0.722521708
28.52852853,4.618996015,0.707792738
28.62862863,4.520812669,0.693063767
28.72872873,4.449186545,0.681437966
28.82882883,4.410853079,0.671450554
28.92892893,4.355841399,0.661463143
29.02902903,4.290212666,0.639690001
29.12912913,4.18816688,0.608297223
29.22922923,4.110943631,0.597781281
29.32932933,4.062288666,0.587265338
29.42942943,3.995904685,0.576749396
29.52952953,3.944647495,0.566233454
29.62962963,3.857560039,0.555717511
29.72972973,3.775859284,0.537727717
29.82982983,3.743293428,0.516669392
29.92992993,3.690871231,0.516558408
30.03003003,3.608054403,0.517685702
30.13013013,3.52780836,0.497474686
30.23023023,3.442353373,0.482221835
30.33033033,3.411912114,0.467492865
30.43043043,3.368505378,0.453095932
30.53053053,3.300184462,0.444684544
30.63063063,3.21562307,0.436273157
30.73073073,3.128926197,0.426523344
30.83083083,3.097584844,0.405465018
30.93093093,3.047564476,0.391757566
31.03103103,2.986418897,0.378609094
31.13113113,2.914574184,0.371493614
31.23123123,2.831330936,0.368863032
31.33133133,2.800126341,0.366963305
31.43143143,2.770061061,0.367744716
31.53153153,2.69544471,0.366524292
31.63163163,2.625288126,0.338584652
31.73173173,2.555885418,0.325337668
31.83183183,2.52163783,0.319029531
31.93193193,2.499374991,0.312721395
32.03203203,2.42938604,0.309163922
32.13213213,2.354865722,0.29601545
32.23223223,2.294558832,0.282866978
32.33233233,2.260259214,0.271787069
32.43243243,2.243761311,0.263401352
32.53253253,2.178443252,0.256392277
32.63263263,2.108563246,0.247960812
32.73273273,2.054496967,0.24352788
32.83283283,2.018396569,0.239094948
32.93293293,1.994382622,0.234662015
33.03303303,1.944965485,0.226190691
33.13313313,1.886368333,0.217493473
33.23323323,1.834536761,0.204413035
33.33333333,1.800258306,0.19453569
33.43343343,1.787498234,0.166971632
33.53353353,1.739367805,0.16434105
33.63363363,1.677821075,0.161710467
33.73373373,1.637890974,0.159079884
33.83383383,1.604796072,0.156449302
33.93393393,1.592332134,0.14805855
34.03403403,1.553515536,0.141487578
34.13413413,1.496140193,0.134916607
34.23423423,1.460140491,0.128345635
34.33433433,1.428206618,0.121774664
