GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4
60.3603603603604,17.437071621982,21.6179563687387,14.1222053836937,14.9268240102252,0.318208219078445,1.55400493211449,0.494211750687083,0.946201749537398,66.9164616503904,65.318355946982,66.9164616503904,65.318355946982
60.4604604604605,17.4422272378345,21.6374806572422,14.1473758563263,14.9387911577528,0.340687337650753,1.49811922824829,0.504140489896059,0.901187368908234,66.916884260704,65.3548298614565,66.916884260704,65.3548298614565
60.5605605605606,17.4400637336069,21.6578417831682,14.1384590398465,14.9490380856456,0.337779757017006,1.49998554010794,0.51759508767708,0.8933382164866,66.9165329744778,65.3913037680831,66.9165329744778,65.3913037680831
60.6606606606607,17.4362822455956,21.695158368003,14.122356367998,14.9313575815165,0.326943797231804,1.49754621338904,0.531506736882277,0.833265790220654,66.9071854323023,65.4277776836336,66.9071854323023,65.4277776836336
60.7607607607608,17.4158234190057,21.7370535268068,14.1348392784017,14.9401926002002,0.321964378949833,1.52279517150898,0.523552269270905,0.872917364930936,66.8978378932199,65.4642515991842,66.8978378932199,65.4642515991842
60.8608608608609,17.3976989237871,21.7540856416216,14.1349888545145,14.9408102725175,0.319357664725507,1.52560552301668,0.513238286877571,0.81741533084803,66.8884903504037,65.5124782219469,66.8884903504037,65.5124782219469
60.960960960961,17.3849077615315,21.792629902973,14.1458951892993,14.944161468964,0.299268766627407,1.55316761406151,0.517360101181486,0.792376779117541,66.8791428052953,65.578937900976,66.8791428052953,65.578937900976
61.0610610610611,17.3587967521321,21.8021741615866,14.1293079147648,14.9550126668769,0.280680912397916,1.53971752206791,0.506158824588429,0.724204715808571,66.8708077912679,65.6453975821672,66.8708077912679,65.6453975821672
61.1611611611612,17.3607148147548,21.8512184256757,14.1268023864097,14.9307732675726,0.278857799333351,1.49869025920939,0.517688819585104,0.695502522574879,66.8705179443043,65.7118572626777,66.8705179443043,65.7118572626777
61.2612612612613,17.3392151004805,21.8607626821171,14.1281000646547,14.9177150567117,0.278140897546806,1.4569558926416,0.530950144412902,0.641600710230396,66.8771909602102,65.7783169473874,66.8771909602102,65.7783169473874
61.3613613613614,17.3199706386086,21.8794480845195,14.1282312430664,14.9085377267317,0.27731513846857,1.43057826472765,0.491894625874141,0.5946821966879,66.8838639772639,65.8447766228529,66.8838639772639,65.8447766228529
61.4614614614615,17.3342633960794,21.8967691984284,14.1397852837838,14.88880022504,0.277572529316432,1.37924604660973,0.468233052759871,0.575158073546698,66.8928676840541,65.9038419417568,66.8928676840541,65.9038419417568
61.5615615615616,17.3247738455455,21.9160935486937,14.1413125776376,14.861497015,0.27798489222422,1.35194826788237,0.442034481279638,0.532342024267709,66.905314255986,65.9437089906757,66.905314255986,65.9437089906757
61.6616616616617,17.3190887628162,21.9093905597047,14.1222309258825,14.8429370815566,0.302314080765582,1.3331744340734,0.422354406114055,0.530901230016417,66.9177608263363,65.9703310841191,66.9177608263363,65.9703310841191
61.7617617617618,17.3139612376443,21.9107871661562,14.1353975223757,14.8154677387037,0.277517468135419,1.31611422528275,0.379260871148008,0.513511249478356,66.9302073965766,65.9969531798649,66.9302073965766,65.9969531798649
61.8618618618619,17.3093322143043,21.8873359215315,14.1277983564364,14.7847661653904,0.271719196021882,1.31068623198247,0.382431177663439,0.511121273348456,66.9426539638038,66.0235752726877,66.9426539638038,66.0235752726877
61.961961961962,17.3077725397431,21.8674025177828,14.1227481797264,14.7743715575826,0.269912945755488,1.31770207245432,0.388620197351736,0.547783772226022,66.9440733447047,66.0544302516717,66.9440733447047,66.0544302516717
62.0620620620621,17.3076711320187,21.8462617326176,14.1372651703837,14.7830940241241,0.250996412662372,1.31372530824875,0.401147490403117,0.565016709097408,66.9364592646046,66.1000533604304,66.9364592646046,66.1000533604304
62.1621621621622,17.2945697216216,21.8415073290541,14.1181154904505,14.8029065775676,0.258920789432298,1.32051581229879,0.39113187311355,0.592021729769399,66.9288451811712,66.1456764714865,66.9288451811712,66.1456764714865
