SquatPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4
32.3323323323323,4.68001962432809,0.454095076408319,1.77771752738583,1.87099107206375,7.56900698516388,3.73310159700278,7.09653529577949,6.44082037824621,115.248266074451,119.71319402002,115.248266074451,119.71319402002
32.4324324324324,4.75552943276961,0.496695293720676,1.84841074115303,1.92482596224411,7.5744984592283,3.74504462389996,7.19092830261041,6.40735036871182,114.791587903784,119.159870491892,114.791587903784,119.159870491892
32.5325325325325,4.91153217590198,0.55241718390248,1.88206501181069,1.98470222848831,7.59793175187497,3.78577058898029,7.31098497792897,6.3884928252606,114.341052488629,118.592867995469,114.341052488629,118.592867995469
32.6326326326326,5.04033599615942,0.631572703639803,1.92542288183685,2.14289819672803,7.63336813231274,3.91442345070785,7.38835561342824,6.44543514755176,113.89597106005,118.05822352354,113.89597106005,118.05822352354
32.7327327327327,5.15240988919296,0.654873005270737,1.96915982065613,2.24257983225064,7.65017561674604,3.95191674113647,7.46798392136016,6.43117900229052,113.450069568739,117.54458970961,113.450069568739,117.54458970961
32.8328328328328,5.31529557086786,0.697578087120341,2.01882328517972,2.37361747455391,7.6280272411848,3.97094651697722,7.5043971885789,6.39577628829088,113.002885317838,117.032020460844,113.002885317838,117.032020460844
32.9329329329329,5.43387065049543,0.762151697915589,2.06554192628152,2.4812667550809,7.6512231391401,3.90606060649916,7.53822672106999,6.30617371589714,112.55570107027,116.519451213587,112.55570107027,116.519451213587
33.033033033033,5.5523213172251,0.813781954358547,2.10848691958357,2.57652050076465,7.66132386065721,3.83900780417575,7.59827482619003,6.17972012503222,112.108516819369,115.994755395686,112.108516819369,115.994755395686
33.1331331331331,5.73522113271147,0.878747846822136,2.17710816376438,2.65300891603674,7.66579590919779,3.75477113013928,7.65874489905638,6.06491455628625,111.664037351555,115.465506043954,111.664037351555,115.465506043954
33.2332332332332,5.88031114156337,0.93420571496966,2.3067942269176,2.71510214276555,7.69342393817923,3.70006386575067,7.72447195327791,5.99173968522805,111.237242533907,114.11930509702,111.237242533907,114.11930509702
