GaitPhase,pMMGMean_5,pMMGStd_5,pMMGMean_5_1,pMMGStd_5_1,pMMGMean_3,pMMGStd_3,NewColumn
10.51051051,-0.356034596,0.199570042,-0.516403659,0.147741292,-0.46078026,0.018799465,-22.7276520833151
10.61061061,-0.329231214,0.231902958,-0.522561881,0.180562642,-0.446267348,0.003106794,-22.807620130966
10.71071071,-0.308424828,0.250115464,-0.529383433,0.212804766,-0.409973427,0.015104608,-22.887588178617
10.81081081,-0.279331205,0.265152621,-0.518220668,0.262909095,-0.385889192,0.044333176,-22.9675562262679
10.91091091,-0.267882998,0.268836871,-0.508502206,0.271089877,-0.361714705,0.073434111,-23.0475242739188
11.01101101,-0.276279863,0.283854905,-0.480533371,0.276578381,-0.327497187,0.144900597,-23.1230986084939
11.11111111,-0.292244296,0.305809665,-0.471797111,0.29916455,-0.285279669,0.171112249,-23.1617244581583
11.21121121,-0.29129715,0.320420024,-0.451104715,0.313970355,-0.261062151,0.200152328,-23.2003503078227
11.31131131,-0.294576898,0.339727478,-0.438545452,0.313552717,-0.235843632,0.227776777,-23.2389761574871
11.41141141,-0.303293172,0.380097026,-0.414123326,0.336437923,-0.220528594,0.218773835,-23.2776020071515
11.51151151,-0.317796346,0.409780333,-0.401724693,0.347272549,-0.218112683,0.216981786,-23.3162278568159
11.61161161,-0.310830178,0.459601474,-0.405389109,0.334033923,-0.213291343,0.2174448,-23.3548537064803
11.71171171,-0.308680827,0.476849401,-0.391375837,0.328583816,-0.216468186,0.206591538,-23.3934795561446
11.81181181,-0.311864809,0.519100651,-0.39933212,0.324840072,-0.211645031,0.178767713,-23.432105405809
11.91191191,-0.301715458,0.550688317,-0.374054751,0.319039445,-0.23433739,0.140315344,-23.4182546087141
12.01201201,-0.298208161,0.552762078,-0.355066337,0.310086936,-0.250935655,0.110481326,-23.2004718466496
12.11211211,-0.294506255,0.571531402,-0.330744591,0.306105718,-0.271917289,0.080105142,-22.982689084585
12.21221221,-0.310664935,0.55633212,-0.291833068,0.311137922,-0.296154734,0.039295231,-22.7649063225205
12.31231231,-0.308344376,0.559679581,-0.280940865,0.32386603,-0.329029703,0.01417741,-22.5471235604559
12.41241241,-0.303004798,0.577586583,-0.254478047,0.343548719,-0.351904673,0.030739401,-22.3293407983914
12.51251251,-0.305841397,0.601182819,-0.23838699,0.372237666,-0.358779643,0.04737194,-22.1115580363269
12.61261261,-0.300609476,0.60620248,-0.216078361,0.393039409,-0.371654612,0.07248976,-21.8937752742623
12.71271271,-0.310639545,0.647529174,-0.198284437,0.381515977,-0.368529582,0.074980165,-21.6759925121978
12.81281281,-0.287143495,0.650898693,-0.17243922,0.38658847,-0.39155578,0.11445399,-21.5451314492844
12.91291291,-0.257682596,0.677681822,-0.154534819,0.41354211,-0.388859427,0.118012066,-21.6216538693209
13.01301301,-0.256922328,0.69004396,-0.146648435,0.422773525,-0.384567328,0.118170012,-21.6981762893573
13.11311311,-0.252463714,0.725284581,-0.131102464,0.434329117,-0.369033988,0.077656932,-21.7746987093938
13.21321321,-0.242651629,0.735589856,-0.122046982,0.442445552,-0.334121269,0.036266161,-21.8512211294303
13.31331331,-0.224581646,0.759523313,-0.38983549,0.1164093,-0.305997338,0.02038226,-21.9277435494667
13.41341341,-0.205137478,0.803085751,-0.097926791,0.414691644,-0.26429583,0.103083921,-22.0042659695032
13.51351351,-0.201768306,0.819538635,-0.08915657,0.371484804,-0.279434638,0.243396771,-22.0807883895396
13.61361361,-0.189194869,0.852382626,-0.075951248,0.347752129,-0.233319393,0.302259215,-22.1573108095761
13.71371371,-0.1872881,0.870394676,-0.06714766,0.320323092,-0.194154642,0.351840147,-22.17535907328
13.81381381,-0.17464049,0.899190142,-0.028046229,0.32401331,-0.172622023,0.433054022,-22.1037953574354
13.91391391,-0.168326498,0.919812595,-0.003715604,0.326193848,-0.124022838,0.495977259,-22.0322316415908
14.01401401,-0.148892718,0.961286082,0.035254733,0.329785152,-0.099122351,0.550923426,-21.9606679257462
14.11411411,-0.119429161,0.989983309,0.078191433,0.363979367,-0.079136779,0.584536062,-21.8891042099016
14.21421421,-0.104040172,1.022846713,0.114831154,0.372880242,-0.060273716,0.563187798,-21.817540494057
14.31431431,-0.084651184,1.065906083,-0.196677941,0.18885029,-0.048463477,0.558844913,-21.7459767782124
14.41441441,-0.051918886,1.114454361,0.178143629,0.413822162,-0.051335921,0.541325351,-21.6744130623678
14.51451451,-0.0538249,1.155605383,0.216339906,0.422526064,-0.065429585,0.511390722,-21.6028493465232
14.61461461,-0.035730915,1.182097286,0.238589443,0.424086902,-0.081595322,0.456102174,-21.6205540166485
14.71471471,-0.02224081,1.249715781,0.264851178,0.423967827,-0.109761059,0.383843063,-21.7311916273924
14.81481481,-0.022176442,1.258565467,0.287928507,0.444845905,-0.105056425,0.300453567,-21.8418292381363
14.91491491,-0.01308337,1.269316362,0.314655472,0.414964576,-0.050787239,0.207780473,-21.9524668488802
15.01501502,-0.025649451,1.286443293,0.333382437,0.404635947,-0.086146967,0.117788219,-22.0631044706768
15.11511512,-0.021219834,1.283335726,0.358942903,0.405810503,-0.044509699,0.071640833,-22.1737420814207
15.21521522,-0.017029457,1.302007043,0.242709574,0.20557669,-0.04518274,0.051388135,-22.2843796921646
15.31531532,-0.005125474,1.31359016,0.22710526,0.179888585,-0.00430423,0.047032954,-22.3950173029085
15.41541542,-0.004527676,1.31976954,0.394443485,0.379753718,0.014271977,0.067706097,-22.5056549136524
15.51551552,0.021504501,1.354803081,0.407152447,0.379036038,0.044182019,0.077537644,-22.4467343861594
15.61561562,0.039665026,1.362537309,0.421871271,0.371024858,0.070456192,0.108502032,-22.2702224015818
15.71571572,0.054288263,1.411258542,0.442107612,0.376427186,0.120883529,0.173031241,-22.0937104170043
15.81581582,0.073911499,1.466640786,0.450458735,0.396856752,0.190362671,0.264503771,-21.9171984324268
15.91591592,0.133534736,1.511213663,0.498480195,0.386906654,0.195568039,0.265079458,-21.7406864478492
16.01601602,0.158349628,1.545222244,0.541456816,0.401704739,0.238971105,0.353056799,-21.5641744632717
16.11611612,0.17794583,1.586694999,0.593945464,0.430807944,0.356478776,0.534224302,-21.3876624786942
16.21621622,0.217527166,1.629122639,0.307123143,0.163396529,0.413684144,0.608339095,-21.2111504941166
16.31631632,0.252937907,1.660803848,0.686695728,0.460298962,0.408577637,0.623497975,-21.0346385095391
16.41641642,0.256348648,1.643947736,0.739601645,0.473219973,0.42138188,0.63589661,-20.8947510221996
16.51651652,0.269092723,1.640963685,0.785840896,0.479148536,0.446179613,0.670913457,-20.7719082163247
16.61661662,0.275390933,1.607851722,0.81863813,0.512040574,0.442977346,0.655018614,-20.6490654104499
16.71671672,0.283799109,1.591262352,0.862193603,0.527709352,0.445775079,0.624981636,-20.526222604575
16.81681682,0.286799061,1.57995866,0.89961971,0.552050422,0.430572812,0.597773085,-20.4033797987002
16.91691692,0.297234256,1.572617505,0.943498937,0.588565689,0.427370545,0.559250826,-20.2805369928254
17.01701702,0.301649432,1.567591962,0.974759316,0.584700074,0.428094009,0.471077065,-20.1576941869505
17.11711712,0.326586129,1.566610316,1.007330958,0.598014824,0.41933238,0.424640299,-20.0348513810757
17.21721722,0.321711989,1.598107879,0.751522774,0.120631636,0.409656089,0.405194276,-19.9120085752008
17.31731732,0.33837922,1.60295066,1.043334763,0.582204982,0.436007825,0.380131037,-19.9198032426965
17.41741742,0.339444479,1.594712572,0.728452862,1.083754612,-0.05272202,0.367710707,-19.9653186581374
17.51751752,0.358182592,1.581579559,1.092129675,0.585331493,0.483548135,0.322702742,-20.0108340735783
17.61761762,0.384990084,1.581772369,1.131324004,0.6195565,0.518367417,0.281191195,-20.0563494890192
17.71771772,0.366827273,1.571515926,1.14383555,0.619522485,0.563331181,0.281901729,-20.1018649044601
17.81781782,0.387149614,1.5769317,1.186528897,0.625046048,0.610395386,0.313867006,-20.147380319901
17.91791792,0.407668187,1.567752029,1.208526825,0.651302235,0.673496621,0.368512067,-20.1928957353419
18.01801802,0.434876156,1.600136744,1.255185023,0.652924528,0.718597855,0.425985556,-20.2384111507828
18.11811812,0.46183726,1.639274917,0.969195239,0.236846247,0.753699089,0.469316909,-20.2839265662237
18.21821822,0.481897645,1.680353417,1.339011386,0.712396989,0.766800324,0.543760961,-20.2225362673809
18.31831832,0.528560279,1.703642669,1.390870024,0.73354751,0.805904126,0.615372954,-20.1458094291991
18.41841842,0.566600958,1.709777689,1.458156216,0.746523854,0.82900985,0.670011667,-20.0690825910172
18.51851852,0.581390197,1.711784786,1.211176736,1.225638559,0.853848863,0.698817351,-19.9923557528353
18.61861862,0.595468639,1.711209044,1.615058144,0.779063566,0.861917618,0.732190581,-19.9156289146535
18.71871872,0.6084313,1.687067742,1.674606219,0.783667604,0.857486373,0.74788614,-19.8389020764716
18.81881882,0.631784994,1.681327633,1.727487627,0.795683728,0.871843917,0.733584518,-19.7621752382897
18.91891892,0.643518629,1.679648409,1.794649679,0.778999408,0.868623883,0.722708718,-19.6854484001079
19.01901902,0.695472483,1.649060113,1.847407664,0.795875638,0.863175718,0.705901296,-19.608721561926
19.11911912,0.721184096,1.6492484,1.873033183,0.79937487,0.890173195,0.67714993,-19.5253210574872
19.21921922,0.741160509,1.636611087,1.90042448,0.784048845,0.939065923,0.622794581,-19.4417103312843
19.31931932,0.775311171,1.635960346,1.932398894,0.766241957,0.96334944,0.618489366,-19.3580996050814
19.41941942,0.810779151,1.610595515,1.9769996,0.76456973,1.012632957,0.592970949,-19.2744888788785
19.51951952,0.843651561,1.590497545,1.995149523,0.786466189,1.056916474,0.616950005,-19.1908781526755
19.61961962,0.879233302,1.567251714,1.693274918,1.237073162,1.123694887,0.616187542,-19.1072674264726
19.71971972,0.926815043,1.568236994,2.040534163,0.832901907,1.191691475,0.647643444,-19.0236567002697
19.81981982,0.962107358,1.579184072,2.09186169,0.847749093,1.275688064,0.616873951,-18.9400459740668
19.91991992,1.000460821,1.582392436,2.133522743,0.856435997,1.353699333,0.63420848,-18.8379944092969
20.02002002,1.036147617,1.596887232,2.177316677,0.872878973,1.407726808,0.674193343,-18.4670400804473
20.12012012,1.083081661,1.610445545,2.228291125,0.904413505,1.465254282,0.663973626,-18.0960857515977
20.22022022,1.120481649,1.627380099,2.286750391,0.915362032,1.519281757,0.647389947,-17.725131422748
20.32032032,1.159618693,1.651919427,2.368482673,0.918219035,1.565178946,0.647961083,-17.3541770938984
20.42042042,1.212495402,1.680797763,2.45279739,0.935906907,1.679922521,0.520387285,-16.9832227650488
20.52052052,1.243142357,1.668630143,2.520709719,0.938737942,1.692507938,0.503889415,-16.6122684361991
20.62062062,1.255122645,1.683797963,2.396516943,1.161575306,1.702877326,0.482275726,-16.2413141073495
20.72072072,1.284436267,1.672590449,2.350147699,1.310537438,1.712399835,0.48873958,-15.7752115564382
20.82082082,1.279056373,1.641075053,2.673944854,0.967944386,1.734599021,0.484846692,-15.1441416124475
20.92092092,1.278246859,1.62026997,2.714036303,0.940586712,1.740798207,0.486610657,-14.5130716684567
21.02102102,1.285237828,1.609155947,2.764461086,0.935281101,1.747038809,0.488316052,-13.882001724466
21.12112112,1.296354522,1.598735339,2.802277896,0.930440045,1.763331946,0.53803041,-13.2509317804753
21.22122122,1.337195772,1.626583913,2.838455747,0.923237491,1.781625084,0.522690946,-12.6198618364845
21.32132132,1.362404057,1.649650808,2.861683648,0.89312861,1.797909946,0.566736746,-11.7922159874028
21.42142142,1.438435163,1.677837668,2.916823276,0.891385542,1.852167757,0.607915863,-10.9224358523809
21.52152152,1.485811591,1.679624965,2.962354101,0.872731994,1.890425567,0.654751834,-10.0526557173591
21.62162162,1.530536144,1.67362762,3.007370746,0.853464614,1.972683378,0.741185784,-9.18287558233722
21.72172172,1.583602541,1.686616018,2.729209671,1.28027538,2.039948598,0.768212286,-8.42202312173601
21.82182182,1.624653096,1.683486276,3.098017757,0.86595118,2.1055576,0.82727952,-8.03911573969447
21.92192192,1.684228842,1.737643538,3.146478281,0.888822081,2.143166601,0.790180232,-7.65620835765293
22.02202202,1.741820938,1.763754894,3.181781648,0.881389068,2.208736223,0.820907505,-7.27330097561137
22.12212212,1.798158113,1.806824526,3.234711352,0.896431493,2.268961025,0.787507516,-6.89039359356983
22.22222222,1.837320962,1.812337711,3.285770069,0.928409933,2.321151792,0.748402542,-6.50748621152829
22.32232232,1.88402234,1.808831258,3.356425416,0.961313687,2.367013161,0.718696028,-6.12457882948674
22.42242242,1.909305281,1.77736818,3.41084081,0.992383173,2.428128994,0.71438702,-5.74167144744519
22.52252252,1.924178146,1.723140078,3.478222417,1.014152579,2.455719302,0.662665759,-5.23261015633668
22.62262262,1.94564694,1.681387568,3.548561399,1.013099152,2.49130961,0.593973936,-4.63680851398534
22.72272272,1.954647265,1.638163082,3.600233714,1.047018546,2.514899918,0.53659582,-4.04100687163401
22.82282282,1.988277146,1.575941459,3.336572696,1.410595901,2.530363726,0.49600937,-3.44520522928268
