GaitPhase,pMMGMean_3,pMMGStd_3,pMMGMean_3_1,pMMGStd_3_1,pMMGMean_3_2,pMMGStd_3_2,NewColumn
5.305305305,1.180584338,0.595162126,1.149051751,0.229073936,1.600866447,0.543437686,-15.8785684552873
5.405405405,1.19264012,0.574908955,1.133825758,0.23535682,1.594488622,0.534680866,-15.8965275258555
5.505505506,1.180580121,0.567481564,1.135618581,0.224599251,1.5661138,0.573013823,-15.9144865966032
5.605605606,1.179457391,0.540115731,1.113009389,0.22164628,1.561308852,0.574992344,-15.9324456671714
5.705705706,1.172192893,0.50258231,1.108461593,0.203944797,1.558204306,0.582298899,-15.9504047377396
5.805805806,1.147556696,0.45904299,1.104216432,0.221308493,1.533873534,0.622971541,-16.10039694298
5.905905906,1.138268907,0.44609013,1.113637938,0.216314217,1.512110329,0.64077778,-16.3098635510297
6.006006006,1.118718188,0.432081612,1.109392777,0.200939821,1.497480142,0.685701969,-16.5193301590793
6.106106106,1.121739374,0.430964838,1.099140518,0.215329606,1.49448088,0.703080364,-16.7287967671289
6.206206206,1.125093894,0.390287462,1.100129474,0.203965033,1.488500806,0.705830785,-16.9382633751785
6.306306306,1.09069165,0.398742977,1.084754663,0.207621635,1.515494775,0.749246297,-17.1477299832281
6.406406406,1.084031565,0.368767652,1.087008814,0.219920763,1.551014861,0.775301065,-17.3571965912777
6.506506507,1.075133452,0.38220452,1.074763131,0.231392129,1.578830617,0.788572051,-17.5666632014198
6.606606607,1.079429533,0.379213565,1.078963561,0.227747298,1.600858585,0.807316751,-17.7761298094695
6.706706707,1.056830719,0.376938911,1.080236731,0.220447953,1.622104772,0.780896896,-18.0190090144371
6.806806807,1.051884558,0.395969265,1.086392784,0.230426728,1.66213325,0.81597587,-18.2706128435424
6.906906907,1.047015997,0.392847458,1.091659076,0.206313836,1.675858668,0.847484172,-18.5222166726477
7.007007007,1.045165543,0.400503239,1.101112436,0.195375628,1.680373876,0.856225847,-18.773820501753
7.107107107,1.03444975,0.399474772,1.081741971,0.210179219,1.684986434,0.868069263,-19.0254243308583
7.207207207,1.019532807,0.418802189,1.067916051,0.197148729,1.67523729,0.897503832,-19.2770281599636
7.307307307,1.016919836,0.424629533,1.059640014,0.222004208,1.685069187,0.883738275,-19.528631989069
7.407407407,1.010481039,0.4252292,1.033281561,0.240641522,1.673176693,0.879485877,-19.7802358181743
7.507507508,0.999042242,0.421937709,1.023219071,0.258782688,1.676479728,0.907275916,-20.0318396497931
7.607607608,1.015500905,0.42607701,1.008473578,0.274020892,1.669198178,0.901874561,-20.7673678257363
7.707707708,1.016231284,0.411666088,0.990240582,0.274427043,1.658120403,0.890144277,-21.4927407825963
7.807807808,1.026287777,0.396660879,0.98120526,0.269224736,1.6463526,0.893953281,-21.116796022022
7.907907908,1.0322103,0.389948813,1.001081851,0.285512719,1.644632178,0.89408391,-20.7408512614478
8.008008008,1.036152922,0.388529743,0.996443594,0.277817767,1.633588956,0.911111617,-20.3649065008735
8.108108108,1.053217667,0.356642162,0.983527725,0.264494547,1.623905535,0.906660096,-19.9889617402992
8.208208208,1.082423519,0.364825158,0.982090434,0.272876099,1.631263155,0.893162393,-19.613016979725
8.308308308,1.108975457,0.363981724,0.988290461,0.258600308,1.605938093,0.905392225,-19.2370722191507
8.408408408,1.117593311,0.344419095,0.982087106,0.2498097,1.602287705,0.900852852,-18.8611274585764
8.508508509,1.141877831,0.336136856,1.003106969,0.268729196,1.583715747,0.922664499,-18.6103153319556
8.608608609,1.150689287,0.326431482,1.004616322,0.264315134,1.58837768,0.920341474,-18.3606528573996
8.708708709,1.155023032,0.326034814,1.025459008,0.288987551,1.605700942,0.984806961,-18.1109903828436
8.808808809,1.158194025,0.32846472,1.027301695,0.288721689,1.647152369,1.028411285,-18.0434606769541
8.908908909,1.163016951,0.341049065,1.035042693,0.320063678,1.665999312,1.075122806,-18.4985089783821
9.009009009,1.170448855,0.321871796,1.028277504,0.342258277,1.667134543,1.090928104,-18.95355727981
9.109109109,1.18187041,0.304515961,1.036976778,0.366509001,1.687598103,1.114120326,-19.4086055812379
9.209209209,1.178958632,0.30460121,1.01108128,0.391831482,1.729461062,1.158923911,-19.8636538826659
9.309309309,1.181297886,0.324568942,0.994197723,0.408927983,1.757990687,1.165447772,-20.3541014787427
9.409409409,1.193157658,0.316178588,1.008314166,0.432624715,1.774691476,1.194504633,-20.8803822265815
9.50950951,1.184573139,0.316396459,0.996763941,0.460647514,1.774094872,1.191896208,-21.4066629796777
