GaitPhase,pMMGMean_1,pMMGStd_1,pMMGMean_2,pMMGStd_2,pMMGMean_2_1,pMMGStd_2_1,NewColumn
2.902902903,-1.461229466,0.04945263,-1.300622433,0.424661143,-1.416882758,0.310470241,-16.3517217925666
3.003003003,-1.468679936,0.062187466,-1.312839203,0.424312864,-1.413470592,0.337319166,-16.3507388472258
3.103103103,-1.473693468,0.057155447,-1.319311699,0.412346041,-1.416416562,0.334210598,-16.3353265107609
3.203203203,-1.504580875,0.077757642,-1.323818228,0.410167256,-1.432489876,0.341510134,-16.2981882442893
3.303303303,-1.497069007,0.062154944,-1.330912909,0.396918781,-1.428838828,0.337063754,-16.2610499778177
3.403403403,-1.519281496,0.087954256,-1.340544305,0.401526673,-1.427187781,0.347428643,-16.223911711346
3.503503504,-1.531493986,0.067084521,-1.355302331,0.394692197,-1.437859577,0.335309918,-16.1867734445034
3.603603604,-1.55622821,0.068165832,-1.357454569,0.39412518,-1.460242152,0.356224252,-16.1496351780317
3.703703704,-1.550985691,0.055137899,-1.372606806,0.387091805,-1.458068753,0.332825853,-16.1124969115601
3.803803804,-1.558015446,0.05946558,-1.374802127,0.386500249,-1.468147157,0.341560455,-16.0753586450884
3.903903904,-1.568166338,0.067759829,-1.385757063,0.404541305,-1.477801195,0.344239739,-16.0382203786168
4.004004004,-1.580700961,0.076448549,-1.385134756,0.405403433,-1.493458899,0.343109983,-16.0070497303897
4.104104104,-1.602687535,0.049006873,-1.414173955,0.41530165,-1.495085239,0.324840208,-15.9819622593541
4.204204204,-1.59917411,0.084497701,-1.408704722,0.428956036,-1.497877415,0.323007011,-15.9568747883184
4.304304304,-1.601660684,0.052106277,-1.432554493,0.447812953,-1.504861125,0.304953667,-15.9317873172828
4.404404404,-1.628725641,0.053059723,-1.43407093,0.461428666,-1.512627699,0.304216624,-15.9066998462471
4.504504505,-1.614818571,0.079508572,-1.464309455,0.470537117,-1.503709473,0.296150255,-15.8816123749608
4.604604605,-1.620764802,0.077880614,-1.460919806,0.463733575,-1.502658654,0.28526982,-15.8565249039252
4.704704705,-1.634829348,0.087399041,-1.474599225,0.475798847,-1.503176403,0.299083509,-15.8314374328895
4.804804805,-1.632893894,0.074290052,-1.481626994,0.484457945,-1.50222068,0.291085433,-15.8063499618539
4.904904905,-1.648458441,0.059059742,-1.496629381,0.492143116,-1.518740127,0.2760004,-15.8067321730144
5.005005005,-1.654522986,0.057264461,-1.502996639,0.495884014,-1.513259175,0.277130682,-15.8246912435826
5.105105105,-1.648410731,0.070775494,-1.500855055,0.493487673,-1.520519145,0.29632176,-15.8426503141508
5.205205205,-1.649626201,0.060283568,-1.513083919,0.483926576,-1.521972464,0.290277101,-15.8606093847191
5.305305305,-1.669864148,0.041002772,-1.514889194,0.49499688,-1.528425782,0.310975713,-15.8785684552873
5.405405405,-1.657650143,0.069166081,-1.511409185,0.491786224,-1.531212434,0.307012037,-15.8965275258555
5.505505506,-1.676936139,0.052781661,-1.514595842,0.492236798,-1.537665753,0.308800805,-15.9144865966032
5.605605606,-1.658222134,0.033568815,-1.523398638,0.480200215,-1.527208665,0.342819034,-15.9324456671714
5.705705706,-1.67750813,0.017184396,-1.515593482,0.504966831,-1.535731319,0.337504198,-15.9504047377396
5.805805806,-1.658364738,0.029891218,-1.519522679,0.506254174,-1.524239818,0.349676217,-16.10039694298
5.905905906,-1.64799961,0.029705398,-1.523451876,0.526758226,-1.518065219,0.344221999,-16.3098635510297
6.006006006,-1.634460842,0.034007782,-1.524406777,0.529241581,-1.507305369,0.354148797,-16.5193301590793
