GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,NewColumn,,
9.80980981,-2.198939406,-1.096807284,0.759898412,2.105057866,-0.550979491,-22.26349603,,
9.90990991,-2.18761046,-1.093173764,0.767343391,2.092880722,-0.548584164,-22.31151981,,
10.01001001,-2.164781514,-1.083540244,0.74128837,2.11487475,-0.532188837,-22.3595436,,
10.11011011,-2.122401214,-1.081685306,0.748771255,2.138241733,-0.533813444,-22.40777989,,
10.21021021,-2.068467208,-1.082351285,0.712293781,2.149173856,-0.511958896,-22.48774794,,
10.31031031,-2.017489268,-1.089487734,0.706741545,2.15173761,-0.49903917,-22.56771599,,
10.41041041,-2.015011328,-1.078735088,0.73318931,2.159284878,-0.486119442,-22.64768404,,
10.51051051,-2.017934289,-1.051328922,0.758180618,2.185788349,-0.461758274,-22.72765208,,
10.61061061,-2.031440834,-1.031422757,0.809019273,2.214291821,-0.44581152,-22.80762013,,
10.71071071,-2.047577509,-1.031516592,0.832032603,2.221795293,-0.435360261,-22.88758818,,
10.81081081,-2.057002673,-1.020615345,0.84605189,2.247927595,-0.404478145,-22.96755623,,
10.91091091,-2.060787378,-1.00955593,0.861282043,2.265101056,-0.390232782,-23.04752427,,
11.01101101,-2.070072083,-1.019218567,0.867012196,2.262716735,-0.409987419,-23.12309861,,
11.11111111,-2.073856788,-0.998787025,0.86474235,2.25822681,-0.447742055,-23.16172446,,
11.21121121,-2.068641493,-0.989355482,0.857972503,2.265736885,-0.461496691,-23.20035031,,
11.31131131,-2.056426198,-0.96892394,0.836202656,2.255246961,-0.481251328,-23.23897616,,
11.41141141,-2.048418639,-0.978492398,0.817915013,2.202257036,-0.519108701,-23.27760201,,
11.51151151,-2.020441702,-0.958486601,0.800587127,2.192286434,-0.553687034,-23.31622786,,
11.61161161,-2.022903724,-0.932305425,0.802671087,2.181142168,-0.576161413,-23.35485371,,
11.71171171,-2.011330209,-0.928800072,0.798296589,2.169525871,-0.583861017,-23.39347956,,
11.81181181,-1.986756694,-0.902619566,0.82292209,2.171057597,-0.611560621,-23.43210541,,
11.91191191,-1.97468318,-0.924785906,0.840547591,2.160719953,-0.619260224,-23.41825461,,
12.01201201,-1.961204779,-0.912046841,0.843602887,2.163175102,-0.616922909,-23.20047185,,
12.11211211,-1.95647843,-0.905384352,0.877603072,2.1667789,-0.624293681,-22.98268908,,
12.21221221,-1.936963898,-0.892479754,0.881577847,2.151699796,-0.631388157,-22.76490632,,
12.31231231,-1.936449366,-0.877564782,0.896052621,2.141147204,-0.630746898,-22.54712356,,
12.41241241,-1.932425325,-0.850334723,0.920017385,2.147454293,-0.63557711,-22.3293408,,
12.51251251,-1.929920302,-0.853104663,0.95350217,2.173261383,-0.652671587,-22.11155804,,
12.61261261,-1.926170557,-0.833874604,0.947781497,2.160568472,-0.649663285,-21.89377527,,
12.71271271,-1.946945675,-0.848144545,0.980304346,2.176875561,-0.684257177,-21.67599251,,
12.81281281,-1.944242538,-0.840414486,1.002942081,2.193182651,-0.662648551,-21.54513145,,
12.91291291,-1.944592972,-0.843303187,1.025171211,2.199458836,-0.648825054,-21.62165387,,
13.01301301,-1.942943406,-0.85341087,1.03790034,2.223678037,-0.655001557,-21.69817629,,
13.11311311,-1.956213258,-0.848518554,1.059818658,2.259182524,-0.671178059,-21.77469871,,
13.21321321,-1.946759959,-0.84284996,1.088228162,2.280499323,-0.667309658,-21.85122113,,
13.31331331,-1.967722708,-0.84473392,1.132181307,2.301473279,-0.66305441,-21.92774355,,
13.41341341,-1.980185456,-0.854801563,1.124089407,2.309554842,-0.668799162,-22.00426597,,
13.51351351,-2.005734532,-0.839949286,1.126671914,2.296774043,-0.674898561,-22.08078839,,
13.61361361,-2.007784827,-0.853553243,1.131122583,2.310364103,-0.681191563,-22.15731081,,
